Shop_Name,Cuisine,Rating,Average_Cost,Cost_Category,Street,Area,Total_Cuisine
Kanti Sweets,Sweets,4.3,75.0,low,Koramangala,Koramangala,1
Mumbai Tiffin,"North Indian, Home Food, Thalis, Combo",4.4,200.0,medium,Sector 5,HSR,4
Sri Krishna sagar,"South Indian, North Indian, Fast Food, Beverages, Jain",4.1,63.0,low,6th Block,Koramangala,5
Al Daaz,"American, Arabian, Chinese, Desserts, Fast Food, Mughlai, North Indian",4.4,200.0,medium,HSR,HSR,7
Beijing Bites,"Chinese, Thai",4.1,225.0,medium,5th Block,Koramangala,2
Kitchens of Punjab,North Indian,4.2,175.0,medium,Koramangala 4th  Block,Koramangala,1
99 VARIETY DOSA AND PAV BHAJI- Malli Mane Food Court,"Fast Food, North Indian, Chinese",4.1,100.0,low,BTM 2nd Stage,BTM,3
La Pino'z Pizza,Italian,3.9,250.0,medium,BTM,BTM,1
Hotel Manu,"South Indian, Kerala, Chinese, North Indian",4.1,175.0,medium,HSR,HSR,4
Yumlane Pizza,"Pizzas, Italian, Mexican",3.8,75.0,low,9th Main road,Koramangala,3
Ambur Star Briyani,"Chinese, South Indian, North Indian, Desserts, Fast Food, Kerala, Andhra, Beverages, Mughlai, Seafood",4.1,250.0,medium,outer ring road,BTM,10
Cake Box,Desserts,4.0,123.5,low,Koramangala,Koramangala,1
Meghana Foods,"Chinese, Andhra, Biryani, Seafood",4.3,275.0,high,5th Block,Koramangala,4
Momoz,Chinese,4.3,225.0,medium,5th Block,Koramangala,1
A2B - Adyar Ananda Bhavan,"South Indian, Chinese, Desserts, North Indian",4.2,225.0,medium,7th Block,Koramangala,4
Shawarma Inc,"Arabian, Fast Food",4.1,75.0,low,1st MAin,Koramangala,2
WarmOven Cake & Desserts,"Desserts, Beverages",4.1,100.0,low,Koramangala,Koramangala,2
Sri Lakshmi Dhaba,North Indian,3.7,100.0,low,Bommanahalli,BTM,1
Falahaar & Kota Kachori,North Indian,4.2,150.0,medium,6th block,Koramangala,1
Shree Khana Khazana,"Indian, Rajasthani",4.1,175.0,medium,Sector 4,HSR,2
Just Bake - Cakes & confectioners,"Desserts, Bakery",4.3,150.0,medium,BTM 1st stage,BTM,2
Maa Di Hatti,"Chinese, Healthy Food, North Indian",4.0,64.5,low,Jakkasandra Extn,Koramangala,3
Hotel Godavari,"North Indian, Chinese, Hyderabadi",4.0,200.0,medium,Marutinagar Main Road,BTM,3
Rolls On Wheels,Fast Food,4.1,150.0,medium,1st Block,Koramangala,1
New Udupi Grand,"Chinese, Jain, North Indian, South Indian",4.3,75.0,low,HSR,HSR,4
Swad Punjab da,Indian,4.1,125.0,low,BTM,BTM,1
Rice Bowl,"North Indian, South Indian, Chinese",4.1,125.0,low,6th Block,Koramangala,3
High N Hungry,"Andhra, Biryani, Chinese, Desserts, Fast Food, Seafood, South Indian",4.1,175.0,medium,4th Cross,BTM,7
Burger King,"American, Fast Food",3.9,175.0,medium,7th Block,Koramangala,2
Nandhana Palace,"Biryani, Seafood, North Indian, Chinese, Desserts, Andhra, South Indian",4.0,250.0,medium,Koramangala,Koramangala,7
